file,repetitiveCodeLines,DeadCodesAfterReturn,MultipleReturnStatementsInFunction,LongStatements,MultipleSameFunctionNames,LongClassOrMethod,LongLoopBlocks,LongConditionalBlocks,LongParameterList,numberOfLines
./OpenStack/horizon/openstack_dashboard/enabled/_1440_project_routers_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_1480_security_groups_panel.py,0,0,0,0,0,0,0,0,0,6
./OpenStack/horizon/openstack_dashboard/enabled/_1490_project_floating_ips_panel.py,0,0,0,0,0,0,0,0,0,6
./OpenStack/horizon/openstack_dashboard/enabled/_1500_project_trunks_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_1510_project_network_qos_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_1910_object_store_panel_group.py,0,0,0,0,0,0,0,0,0,5
./OpenStack/horizon/openstack_dashboard/enabled/_1920_project_containers_panel.py,0,0,0,0,0,0,0,0,0,16
./OpenStack/horizon/openstack_dashboard/enabled/_2000_admin.py,0,0,0,0,0,0,0,0,0,12
./OpenStack/horizon/openstack_dashboard/enabled/_2010_admin_overview_panel.py,0,0,0,0,0,0,0,0,0,11
./OpenStack/horizon/openstack_dashboard/enabled/_2110_admin_compute_panel_group.py,0,0,0,0,0,0,0,0,0,8
./OpenStack/horizon/openstack_dashboard/enabled/_2120_admin_hypervisors_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_2130_admin_aggregates_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2140_admin_instances_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2150_admin_flavors_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2160_admin_images_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2210_admin_volume_panel_group.py,0,0,0,0,0,0,0,0,0,8
./OpenStack/horizon/openstack_dashboard/enabled/_2220_admin_volumes_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2230_admin_backups_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2230_admin_snapshots_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2240_admin_volume_types_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_2250_admin_volume_groups.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_2260_admin_vg_snapshots.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_2270_admin_group_types_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_2300_admin_network_panel_group.py,0,0,0,0,0,0,0,0,0,8
./OpenStack/horizon/openstack_dashboard/enabled/_2310_admin_networks_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2320_admin_routers_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2330_admin_floating_ips_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_2340_admin_trunks_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2350_admin_rbac_policies_panel.py,0,0,0,0,0,0,0,0,0,10
./OpenStack/horizon/openstack_dashboard/enabled/_2810_admin_system_panel_group.py,0,0,0,0,0,0,0,0,0,8
./OpenStack/horizon/openstack_dashboard/enabled/_2820_admin_defaults_panel.py,0,0,0,0,0,0,0,0,0,9
./OpenStack/horizon/openstack_dashboard/enabled/_2830_admin_metadata_defs_panel.py,0,0,0,0,0,0,0,0,0,10
